Techstack,Links
"AI, Artificial Intelligence, Neural networks, LLM",https://github.com/Immortal-Pi/LLM-using-Llamaindex-and-Llama2
"Deep Learning, AI, Neural Networks, CNN, Computer Vision, Machine Learning",https://github.com/Immortal-Pi/DeepLearningForSatelliteImagery
"Vue.js, Ruby on Rails, PostgreSQL",https://example.com/vue-portfolio
"Python, Django, MySQL, Pandas, Dava Visualization",https://github.com/Immortal-Pi/DeepLearningForSatelliteImagery
"Java, Spring Boot, Oracle",https://example.com/java-portfolio
"Flutter, Firebase, GraphQL",https://example.com/flutter-portfolio
"WordPress, PHP, MySQL",https://example.com/wordpress-portfolio
"Magento, PHP, MySQL",https://example.com/magento-portfolio
"React Native, Node.js, MongoDB",https://example.com/react-native-portfolio
"iOS, Swift, Core Data",https://example.com/ios-portfolio
"Android, Java, Room Persistence",https://example.com/android-portfolio
"Kotlin, Android, Firebase",https://example.com/kotlin-android-portfolio
"Android TV, Kotlin, Android NDK",https://example.com/android-tv-portfolio
"iOS, Swift, ARKit",https://example.com/ios-ar-portfolio
"Cross-platform, Xamarin, Azure",https://example.com/xamarin-portfolio
"Backend, Kotlin, Spring Boot",https://example.com/kotlin-backend-portfolio
"Frontend, TypeScript, Angular",https://example.com/typescript-frontend-portfolio
"Full-stack, JavaScript, Express.js",https://example.com/full-stack-js-portfolio
"Machine Learning, Python, TensorFlow",https://github.com/Immortal-Pi/LLM-using-Llamaindex-and-Llama2
"DevOps, Jenkins, Docker",https://example.com/devops-portfolio
